"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 30 18:47:56 GMT 2024","Tue Jul 30 18:47:56 GMT 2024","450","api tests","framework.spec.ts","Simple Api Tests","","","Checking PUT",""
"passed","Tue Jul 30 18:47:56 GMT 2024","Tue Jul 30 18:47:57 GMT 2024","1104","api tests","framework.spec.ts","Auth Api Tests","","","Check user info by id",""
"passed","Tue Jul 30 18:47:50 GMT 2024","Tue Jul 30 18:47:51 GMT 2024","844","api tests","example.spec.ts","example suite","","","Method test: delete",""
"passed","Tue Jul 30 18:47:51 GMT 2024","Tue Jul 30 18:47:53 GMT 2024","2082","api tests","example.spec.ts","auth tests","","","user info by id",""
"passed","Tue Jul 30 18:47:51 GMT 2024","Tue Jul 30 18:47:52 GMT 2024","805","api tests","fixtures.spec.ts","Simple Api Tests","","","Hello Test",""
"passed","Tue Jul 30 18:47:53 GMT 2024","Tue Jul 30 18:47:53 GMT 2024","677","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking PATCH",""
"passed","Tue Jul 30 18:47:53 GMT 2024","Tue Jul 30 18:47:54 GMT 2024","766","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking PUT",""
"passed","Tue Jul 30 18:47:52 GMT 2024","Tue Jul 30 18:47:53 GMT 2024","718","api tests","fixtures.spec.ts","Simple Api Tests","","","Get 500 test",""
"passed","Tue Jul 30 18:47:53 GMT 2024","Tue Jul 30 18:47:58 GMT 2024","4052","api tests","fixtures.spec.ts","Example tests with fixtures, auth","","","Check user info by id",""
"passed","Tue Jul 30 18:47:52 GMT 2024","Tue Jul 30 18:47:53 GMT 2024","811","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking POST",""
"passed","Tue Jul 30 18:47:51 GMT 2024","Tue Jul 30 18:47:52 GMT 2024","859","api tests","example.spec.ts","example suite","","","Method test: patch",""
"passed","Tue Jul 30 18:47:52 GMT 2024","Tue Jul 30 18:47:53 GMT 2024","722","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking GET",""
"passed","Tue Jul 30 18:47:56 GMT 2024","Tue Jul 30 18:47:57 GMT 2024","529","api tests","framework.spec.ts","Simple Api Tests","","","Checking PATCH",""
"passed","Tue Jul 30 18:47:56 GMT 2024","Tue Jul 30 18:47:57 GMT 2024","553","api tests","framework.spec.ts","Auth Api Tests","","","Check user id",""
"passed","Tue Jul 30 18:47:56 GMT 2024","Tue Jul 30 18:47:56 GMT 2024","448","api tests","framework.spec.ts","Simple Api Tests","","","Checking DELETE",""
"passed","Tue Jul 30 18:47:50 GMT 2024","Tue Jul 30 18:47:51 GMT 2024","789","api tests","example.spec.ts","example suite","","","Method test: post",""
"passed","Tue Jul 30 18:47:53 GMT 2024","Tue Jul 30 18:47:53 GMT 2024","741","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking DELETE",""
"passed","Tue Jul 30 18:47:53 GMT 2024","Tue Jul 30 18:47:57 GMT 2024","3545","api tests","fixtures.spec.ts","Example tests with fixtures, auth","","","Check user id",""
"passed","Tue Jul 30 18:47:54 GMT 2024","Tue Jul 30 18:47:55 GMT 2024","772","api tests","framework.spec.ts","Simple Api Tests","","","Get 500 test",""
"passed","Tue Jul 30 18:47:50 GMT 2024","Tue Jul 30 18:47:51 GMT 2024","823","api tests","example.spec.ts","example suite","","","Method test: get",""
"passed","Tue Jul 30 18:47:55 GMT 2024","Tue Jul 30 18:47:55 GMT 2024","439","api tests","framework.spec.ts","Simple Api Tests","","","Checking GET",""
"passed","Tue Jul 30 18:47:51 GMT 2024","Tue Jul 30 18:47:53 GMT 2024","1549","api tests","example.spec.ts","auth tests","","","auth user check id",""
"passed","Tue Jul 30 18:47:54 GMT 2024","Tue Jul 30 18:47:54 GMT 2024","724","api tests","framework.spec.ts","Simple Api Tests","","","Hello Test",""
"passed","Tue Jul 30 18:47:50 GMT 2024","Tue Jul 30 18:47:51 GMT 2024","931","api tests","example.spec.ts","example suite","","","Status 500 test",""
"passed","Tue Jul 30 18:47:51 GMT 2024","Tue Jul 30 18:47:52 GMT 2024","870","api tests","example.spec.ts","example suite","","","Method test: put",""
"passed","Tue Jul 30 18:47:55 GMT 2024","Tue Jul 30 18:47:56 GMT 2024","453","api tests","framework.spec.ts","Simple Api Tests","","","Checking POST",""
"passed","Tue Jul 30 18:47:50 GMT 2024","Tue Jul 30 18:47:51 GMT 2024","729","api tests","example.spec.ts","example suite","","","Hello test",""
