"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1045","Method test: patch","api tests","Thu Nov 07 16:55:33 GMT 2024","passed","Thu Nov 07 16:55:34 GMT 2024","example suite","example.spec.ts","",""
"","997","Checking put","api tests","Thu Nov 07 16:55:35 GMT 2024","passed","Thu Nov 07 16:55:36 GMT 2024","Simple Api Tests","fixtures.spec.ts","",""
"","601","Checking put","api tests","Thu Nov 07 16:55:39 GMT 2024","passed","Thu Nov 07 16:55:39 GMT 2024","Simple Api Tests","framework.spec.ts","",""
"","1260","Check user info by id","api tests","Thu Nov 07 16:55:39 GMT 2024","passed","Thu Nov 07 16:55:41 GMT 2024","Auth Api Tests","framework.spec.ts","",""
"","2487","user info by id","api tests","Thu Nov 07 16:55:33 GMT 2024","passed","Thu Nov 07 16:55:36 GMT 2024","auth tests","example.spec.ts","",""
"","615","Checking get","api tests","Thu Nov 07 16:55:38 GMT 2024","passed","Thu Nov 07 16:55:38 GMT 2024","Simple Api Tests","framework.spec.ts","",""
"","947","Checking post","api tests","Thu Nov 07 16:55:38 GMT 2024","passed","Thu Nov 07 16:55:39 GMT 2024","Simple Api Tests","framework.spec.ts","",""
"","4844","Check user info by id","api tests","Thu Nov 07 16:55:36 GMT 2024","passed","Thu Nov 07 16:55:41 GMT 2024","Example tests with fixtures, auth","fixtures.spec.ts","",""
"","953","Hello Test","api tests","Thu Nov 07 16:55:33 GMT 2024","passed","Thu Nov 07 16:55:34 GMT 2024","Simple Api Tests","fixtures.spec.ts","",""
"","1016","Method test: put","api tests","Thu Nov 07 16:55:33 GMT 2024","passed","Thu Nov 07 16:55:34 GMT 2024","example suite","example.spec.ts","",""
"","4619","Check user id","api tests","Thu Nov 07 16:55:36 GMT 2024","passed","Thu Nov 07 16:55:41 GMT 2024","Example tests with fixtures, auth","fixtures.spec.ts","",""
"","1084","Method test: post","api tests","Thu Nov 07 16:55:32 GMT 2024","passed","Thu Nov 07 16:55:33 GMT 2024","example suite","example.spec.ts","",""
"","788","Get 500 test","api tests","Thu Nov 07 16:55:34 GMT 2024","passed","Thu Nov 07 16:55:35 GMT 2024","Simple Api Tests","fixtures.spec.ts","",""
"","994","Checking delete","api tests","Thu Nov 07 16:55:35 GMT 2024","passed","Thu Nov 07 16:55:36 GMT 2024","Simple Api Tests","fixtures.spec.ts","",""
"","777","Checking post","api tests","Thu Nov 07 16:55:34 GMT 2024","passed","Thu Nov 07 16:55:35 GMT 2024","Simple Api Tests","fixtures.spec.ts","",""
"","860","Checking delete","api tests","Thu Nov 07 16:55:38 GMT 2024","passed","Thu Nov 07 16:55:39 GMT 2024","Simple Api Tests","framework.spec.ts","",""
"","810","Checking get","api tests","Thu Nov 07 16:55:34 GMT 2024","passed","Thu Nov 07 16:55:35 GMT 2024","Simple Api Tests","fixtures.spec.ts","",""
"","788","Hello Test","api tests","Thu Nov 07 16:55:36 GMT 2024","passed","Thu Nov 07 16:55:37 GMT 2024","Simple Api Tests","framework.spec.ts","",""
"","790","Get 500 test","api tests","Thu Nov 07 16:55:37 GMT 2024","passed","Thu Nov 07 16:55:38 GMT 2024","Simple Api Tests","framework.spec.ts","",""
"","1140","Method test: get","api tests","Thu Nov 07 16:55:32 GMT 2024","passed","Thu Nov 07 16:55:33 GMT 2024","example suite","example.spec.ts","",""
"","980","Checking patch","api tests","Thu Nov 07 16:55:39 GMT 2024","passed","Thu Nov 07 16:55:40 GMT 2024","Simple Api Tests","framework.spec.ts","",""
"","1224","Status 500 test","api tests","Thu Nov 07 16:55:32 GMT 2024","passed","Thu Nov 07 16:55:33 GMT 2024","example suite","example.spec.ts","",""
"","1057","Hello test","api tests","Thu Nov 07 16:55:32 GMT 2024","passed","Thu Nov 07 16:55:33 GMT 2024","example suite","example.spec.ts","",""
"","722","Check user id","api tests","Thu Nov 07 16:55:39 GMT 2024","passed","Thu Nov 07 16:55:40 GMT 2024","Auth Api Tests","framework.spec.ts","",""
"","1017","Checking patch","api tests","Thu Nov 07 16:55:35 GMT 2024","passed","Thu Nov 07 16:55:36 GMT 2024","Simple Api Tests","fixtures.spec.ts","",""
"","1332","Method test: delete","api tests","Thu Nov 07 16:55:32 GMT 2024","passed","Thu Nov 07 16:55:33 GMT 2024","example suite","example.spec.ts","",""
"","2009","auth user check id","api tests","Thu Nov 07 16:55:33 GMT 2024","passed","Thu Nov 07 16:55:35 GMT 2024","auth tests","example.spec.ts","",""
